portal,role_query,title,company,location,url,posted,scraped_at
LinkedIn,Technical Program Manager,Technical Program Manager 6 - Data Systems,Netflix,United States,https://www.linkedin.com/jobs/view/technical-program-manager-6-data-systems-at-netflix-4400198696?position=18&pageNum=0&refId=mqbB2pImSJD7rJ44GdA25w%3D%3D&trackingId=XX4Vw6jROGiqDJWb6Q9Dzw%3D%3D,5 days ago,2026-04-21T12:09:52.464990
LinkedIn,Technical Program Manager,"Staff Technical Program Manager, Physical Infrastructure",LinkedIn,"Mountain View, CA",https://www.linkedin.com/jobs/view/staff-technical-program-manager-physical-infrastructure-at-linkedin-4391881646?position=19&pageNum=0&refId=mqbB2pImSJD7rJ44GdA25w%3D%3D&trackingId=7yw1FZJmMpqjdRamK4336Q%3D%3D,2 hours ago,2026-04-21T12:09:52.464990
LinkedIn,Technical Program Manager,Technical Program Manager II,Switch,Atlanta Metropolitan Area,https://www.linkedin.com/jobs/view/technical-program-manager-ii-at-switch-4388212588?position=20&pageNum=0&refId=mqbB2pImSJD7rJ44GdA25w%3D%3D&trackingId=MDmuBawbEVDkLqEYEE%2ByzQ%3D%3D,1 week ago,2026-04-21T12:09:52.464990
LinkedIn,Technical Program Manager,Sr. Program Manager,AMD,"Austin, TX",https://www.linkedin.com/jobs/view/sr-program-manager-at-amd-4389182481?position=21&pageNum=0&refId=mqbB2pImSJD7rJ44GdA25w%3D%3D&trackingId=WBPYkIM%2B1xvRNc%2B9uBKz0g%3D%3D,5 days ago,2026-04-21T12:09:52.464990
LinkedIn,Technical Program Manager,Technical Program Manager II,Veracity Software Inc,"Mountain View, CA",https://www.linkedin.com/jobs/view/technical-program-manager-ii-at-veracity-software-inc-4399967708?position=22&pageNum=0&refId=mqbB2pImSJD7rJ44GdA25w%3D%3D&trackingId=wkNt%2Fd17H%2FRBAdUxGX6YRQ%3D%3D,5 days ago,2026-04-21T12:09:52.464990
LinkedIn,Technical Program Manager,Technical Program Manager,Meta,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/technical-program-manager-at-meta-4120829157?position=23&pageNum=0&refId=mqbB2pImSJD7rJ44GdA25w%3D%3D&trackingId=czWIpk1KPliZ6qmWLZYm0A%3D%3D,5 days ago,2026-04-21T12:09:52.464990
LinkedIn,Technical Program Manager,Senior Program Manager,Robert Half,United States,https://www.linkedin.com/jobs/view/senior-program-manager-at-robert-half-4402750687?position=24&pageNum=0&refId=mqbB2pImSJD7rJ44GdA25w%3D%3D&trackingId=0p10bZJy1Bf8DNUbg1PH6A%3D%3D,3 days ago,2026-04-21T12:09:52.464990
LinkedIn,Technical Program Manager,Program Manager (Senior),Ansible Government Solutions,"Washington, DC",https://www.linkedin.com/jobs/view/program-manager-senior-at-ansible-government-solutions-4366744748?position=25&pageNum=0&refId=mqbB2pImSJD7rJ44GdA25w%3D%3D&trackingId=VsEnPS2mO0FdxLwdAySTXQ%3D%3D,2 months ago,2026-04-21T12:09:52.464990
LinkedIn,Technical Program Manager,Senior Technical Program Manager,Ford Motor Company,"Long Beach, CA",https://www.linkedin.com/jobs/view/senior-technical-program-manager-at-ford-motor-company-4358910292?position=26&pageNum=0&refId=mqbB2pImSJD7rJ44GdA25w%3D%3D&trackingId=OC6FB6oYCIaiSx2ivOfgsQ%3D%3D,2 days ago,2026-04-21T12:09:52.465987
LinkedIn,Technical Program Manager,Senior Technical Program Manager,Pickle Robot Company,"Boston, MA",https://www.linkedin.com/jobs/view/senior-technical-program-manager-at-pickle-robot-company-4344814622?position=27&pageNum=0&refId=mqbB2pImSJD7rJ44GdA25w%3D%3D&trackingId=OeZKwXWb3SJdrCDJDW1fzA%3D%3D,4 months ago,2026-04-21T12:09:52.465987
LinkedIn,Technical Program Manager,Senior Program Manager,HCLTech,"San Antonio, Texas Metropolitan Area",https://www.linkedin.com/jobs/view/senior-program-manager-at-hcltech-4391495762?position=28&pageNum=0&refId=mqbB2pImSJD7rJ44GdA25w%3D%3D&trackingId=X9TdGPXSvXtxZIJWC%2BgDWA%3D%3D,3 weeks ago,2026-04-21T12:09:52.465987
LinkedIn,Technical Program Manager,"Senior Manager, Technology PMO",Medidata Solutions,"New York, United States",https://www.linkedin.com/jobs/view/senior-manager-technology-pmo-at-medidata-solutions-4396670300?position=29&pageNum=0&refId=mqbB2pImSJD7rJ44GdA25w%3D%3D&trackingId=K%2F1ynWeyM6cy0DTxMSdDyw%3D%3D,2 weeks ago,2026-04-21T12:09:52.465987
LinkedIn,Technical Program Manager,"Technical Program Manager, Edge Infrastructure",TikTok,"San Jose, CA",https://www.linkedin.com/jobs/view/technical-program-manager-edge-infrastructure-at-tiktok-4392461134?position=30&pageNum=0&refId=mqbB2pImSJD7rJ44GdA25w%3D%3D&trackingId=K82nAT4Wu3AW9rnD9vkxUw%3D%3D,2 weeks ago,2026-04-21T12:09:52.465987
LinkedIn,AI Engineer,"Machine Learning Engineer , AI",Biohub,"New York, NY",https://www.linkedin.com/jobs/view/machine-learning-engineer-ai-at-biohub-4398451971?position=1&pageNum=0&refId=cTcVibazJUifVgvxs9JbVg%3D%3D&trackingId=xQ0A5PFjBS75%2BYQsOlyNqg%3D%3D,1 week ago,2026-04-21T12:09:52.254772
LinkedIn,AI Engineer,"Machine Learning Engineer , AI",Biohub,"Redwood City, CA",https://www.linkedin.com/jobs/view/machine-learning-engineer-ai-at-biohub-4398630444?position=2&pageNum=0&refId=cTcVibazJUifVgvxs9JbVg%3D%3D&trackingId=FI9zI%2BMGYiuxOduWcrWNzA%3D%3D,1 week ago,2026-04-21T12:09:52.254772
LinkedIn,AI Engineer,Machine Learning Engineer,Shipt,United States,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-shipt-4402000096?position=3&pageNum=0&refId=cTcVibazJUifVgvxs9JbVg%3D%3D&trackingId=JSLhHLjqmZGFdcq%2FQhvbFA%3D%3D,6 days ago,2026-04-21T12:09:52.254772
